Flow,O,D,Year
514,42,23,2011
661,49,15,2017
1398,49,2,2006
335,15,17,2006
2911,37,19,2015
384,27,30,2007
213,25,27,2008
34,16,39,2008
87,16,31,2011
3177,22,16,2011
272,12,1,2016
7566,44,12,2018
383,1,22,2015
380,48,12,2018
438,29,36,2017
84,6,37,2017
40,15,39,2017
1175,36,2,2011
764,31,12,2007
52,3,45,2013
679,41,32,2015
966,33,44,2015
1049,44,21,2008
533,42,28,2007
676,11,16,2013
492,32,21,2015
136,47,11,2007
495,20,12,2006
123,6,22,2013
337,8,44,2015
887,23,32,2007
36,15,14,2008
463,40,42,2006
323,48,42,2015
45,12,40,2005
1174,34,10,2014
887,3,18,2006
164,43,2,2008
101,30,11,2018
508,29,48,2009
3473,29,8,2008
123,19,27,2010
61,8,26,2006
2226,14,31,2008
257,46,9,2008
1808,12,9,2006
81,25,6,2005
16,31,29,2018
163,22,32,2010
18,13,14,2010
703,12,30,2016
2096,33,29,2010
1275,34,13,2006
40,5,46,2016
22,6,30,2018
203,22,28,2015
211,38,37,2016
151,6,33,2006
177,41,26,2009
323,27,36,2010
102,31,37,2018
185,14,30,2016
13,36,24,2009
2,3,29,2012
384,31,26,2013
206,30,49,2011
139,32,27,2005
91,47,1,2013
1161,37,32,2005
24,6,24,2011
268,8,34,2009
77,45,20,2005
2144,35,15,2009
485,10,12,2012
368,26,32,2012
192,13,31,2015
267,43,19,2006
74,11,36,2009
271,43,8,2006
108,19,43,2013
929,10,7,2011
224,34,31,2016
47,34,41,2017
347,5,3,2015
375,8,37,2016
37,14,17,2010
4624,12,16,2015
745,23,47,2007
218,3,42,2007
706,38,49,2015
215,43,41,2013
392,3,48,2016
245,24,45,2011
43,33,7,2008
1775,27,44,2018
135,4,27,2017
208,28,3,2010
133,12,14,2016
227,27,42,2008
1274,48,15,2014
88,36,22,2007
333,3,19,2010
3845,24,22,2012
38,12,5,2008
95,32,22,2008
1271,7,28,2012
360,8,42,2016
384,38,7,2006
252,7,1,2010
7,8,45,2010
252,26,9,2014
29,25,11,2016
720,23,28,2012
484,35,5,2011
206,2,26,2014
1792,26,18,2017
638,11,42,2011
159,41,27,2015
106,49,11,2011
37,4,9,2007
310,16,8,2006
231,25,12,2011
129,16,46,2009
300,1,32,2018
95,24,35,2009
150,30,4,2005
357,33,9,2006
20,6,38,2005
12,13,1,2017
93,24,25,2017
51,37,33,2015
367,9,10,2009
41,28,9,2012
960,14,43,2005
1698,35,12,2007
608,4,8,2009
206,45,47,2006
951,45,24,2018
176,11,37,2007
125,32,38,2011
865,42,47,2005
337,32,28,2010
122,46,22,2012
514,18,6,2009
177,6,25,2014
231,8,35,2008
1875,18,32,2012
369,13,4,2005
163,5,46,2014
112,48,49,2012
534,13,30,2018
37,19,29,2017
1949,23,10,2006
144,46,44,2018
2843,2,4,2008
188,39,35,2018
1108,19,42,2012
77,12,46,2009
31,3,35,2016
283,32,41,2018
1631,5,2,2010
664,13,27,2015
344,37,20,2014
73,42,46,2018
424,49,29,2013
152,16,30,2008
377,22,19,2010
205,22,43,2009
320,13,23,2007
1368,11,16,2006
47,39,3,2009
2997,1,23,2008
99,42,38,2005
108,8,44,2006
1830,18,17,2005
1797,27,21,2007
91,27,45,2015
145,31,13,2008
453,4,6,2007
394,3,18,2015
216,24,23,2013
219,16,13,2006
151,44,20,2007
469,44,19,2009
10,1,33,2007
206,19,27,2005
24,32,44,2009
1231,20,3,2007
60,8,26,2017
155,49,20,2005
1142,18,16,2015
359,36,42,2013
697,18,42,2006
195,22,32,2005
34,22,36,2016
74,44,36,2008
503,34,13,2015
368,19,32,2010
97,10,30,2006
2496,8,25,2007
360,14,30,2015
311,5,28,2008
360,26,25,2014
145,6,34,2016
12918,45,48,2018
398,21,37,2016
317,1,25,2006
73,26,8,2009
90,40,11,2006
180,29,26,2007
250,45,20,2018
33,36,31,2008
272,13,31,2006
451,31,27,2014
29,32,39,2006
143,43,8,2015
374,22,28,2017
54,43,14,2012
210,19,17,2015
50,7,14,2005
396,39,28,2005
874,45,21,2006
161,18,26,2005
2585,6,1,2018
583,36,32,2007
1501,34,21,2015
417,33,7,2007
272,2,5,2009
984,39,34,2015
61,1,45,2008
1698,47,41,2011
928,12,10,2011
1123,14,16,2009
53,36,22,2014
47,5,22,2006
169,19,47,2016
91,45,6,2012
67,3,49,2015
34,48,46,2018
413,43,25,2010
183,10,22,2005
366,28,2,2009
277,8,22,2018
213,19,23,2016
40,18,45,2014
248,24,7,2008
258,4,7,2010
